RA,Dec,z_cl,N_mem,logMs,z_bcg,ID,
2.043308,2.0201,0.354,70.37,12.834,0.36505,C19a1sW00226,
2.047033,-0.087317,0.726,14.402,12.35,-1.0,C19a1sW00227,
2.053639,1.615902,1.112,11.444,12.048,-1.0,C19a1sW00228,
2.05878,0.189163,0.505,17.36,12.266,0.50639,C19a1sW00229,
2.074497,-0.655767,0.563,36.504,12.632,0.55566,C19a1sW00230,
2.09461,1.174543,1.1959,10.925,12.392,-1.0,C19a1sW00231,
2.108982,0.352984,0.686,23.354,12.403,0.68073,C19a1sW00232,
2.110118,1.52845,0.8901,11.718,12.187,-1.0,C19a1sW00233,
2.120178,2.075168,0.8762,14.652,12.373,-1.0,C19a1sW00234,
2.14443,1.219065,0.666,13.151,12.011,-1.0,C19a1sW00235,
2.160369,0.079894,0.606,12.741,12.131,-1.0,C19a1sW00236,
2.16928,1.088425,0.8555,10.186,12.232,-1.0,C19a1sW00237,
2.174459,2.074779,0.622,10.857,12.231,-1.0,C19a1sW00238,
2.19548,0.921324,0.8659,17.021,12.401,-1.0,C19a1sW00239,
2.211551,1.854618,0.626,10.017,12.215,-1.0,C19a1sW00240,
2.212321,-0.037421,1.152,10.553,12.121,-1.0,C19a1sW00241,
2.212484,-0.376047,0.374,10.399,11.961,0.38082,C19a1sW00242,
2.215995,2.028381,1.1095,15.512,12.107,-1.0,C19a1sW00243,
2.216933,0.286128,0.582,24.688,12.491,-1.0,C19a1sW00244,
2.217753,1.43326,0.872,10.268,12.018,-1.0,C19a1sW00245,
2.218747,0.97837,1.198,15.832,12.278,-1.0,C19a1sW00246,
2.221302,-0.491486,0.8589,11.615,12.09,-1.0,C19a1sW00247,
2.239228,0.486899,0.9119,13.1,12.199,-1.0,C19a1sW00248,
2.246267,0.280523,0.3102,12.303,12.219,-1.0,C19a1sW00249,
2.305588,0.141726,0.418,17.778,12.259,-1.0,C19a1sW00250,
2.309018,0.429037,0.6194,15.287,12.437,0.61354,C19a1sW00251,
2.309518,1.790877,0.7842,24.4,12.427,-1.0,C19a1sW00252,
2.325303,2.11831,0.8038,24.771,12.17,-1.0,C19a1sW00253,
2.347976,1.010229,1.164,12.465,12.372,-1.0,C19a1sW00254,
2.350802,0.168579,0.564,17.769,12.443,-1.0,C19a1sW00255,
2.371284,1.372207,0.2399,11.278,12.009,-1.0,C19a1sW00256,
2.411592,0.807399,0.644,15.868,12.482,0.62873,C19a1sW00257,
2.419327,0.425028,0.1909,15.867,12.241,0.18784,C19a1sW00258,
2.465644,0.256233,0.562,12.014,12.113,0.57391,C19a1sW00259,
2.466589,0.569111,0.6809,12.029,12.162,-1.0,C19a1sW00260,
2.496269,1.293882,0.892,10.586,12.145,-1.0,C19a1sW00261,
2.503753,1.155863,0.508,16.619,12.159,0.50499,C19a1sW00262,
2.512117,1.326207,0.4191,21.438,12.184,0.41499,C19a1sW00263,
2.531192,-0.162875,1.15,11.12,12.205,-1.0,C19a1sW00264,
