#   RA         Dec     z_cl    N_mem logMs  z_bcg    ID
  2.094610   1.174543 1.1960  10.848 12.396 -1.0    C19a1nW00245
  2.108982   0.352984 0.6900  23.049 12.393 0.68073 C19a1nW00246
  2.110118   1.528450 0.8929  13.042 12.187 -1.0    C19a1nW00247
  2.120178   2.075168 0.8762  14.114 12.389 -1.0    C19a1nW00248
  2.138767   1.206262 0.6721  13.342 12.181 -1.0    C19a1nW00249
  2.148178  -0.285065 0.7460  12.802 12.237 -1.0    C19a1nW00250
  2.157459   0.446949 0.5646  12.185 12.245 0.59189 C19a1nW00251
  2.160369   0.079894 0.6120  12.270 12.178 -1.0    C19a1nW00252
  2.174459   2.074779 0.6220  14.197 12.319 -1.0    C19a1nW00253
  2.202367   0.279308 0.4125  10.785 12.305 0.32054 C19a1nW00254
  2.210056   0.938825 0.9039  19.418 12.429 -1.0    C19a1nW00255
  2.211551   1.854618 0.6260  10.039 12.216 -1.0    C19a1nW00256
  2.212484  -0.376047 0.3740  10.135 11.961 0.38082 C19a1nW00257
  2.215995   2.028381 1.1094  13.160 12.112 -1.0    C19a1nW00258
  2.216933   0.286128 0.5820  26.096 12.498 -1.0    C19a1nW00259
  2.218747   0.978370 1.1979  15.404 12.308 -1.0    C19a1nW00260
  2.221302  -0.491486 0.8589  10.911 12.090 -1.0    C19a1nW00261
  2.223359   1.288074 0.6220  59.667 12.864 -1.0    C19a1nW00262
  2.239228   0.486899 0.9120  12.578 12.199 -1.0    C19a1nW00263
  2.246267   0.280523 0.3106  12.053 12.268 -1.0    C19a1nW00264
  2.253095   0.380153 1.0113  10.312 12.064 -1.0    C19a1nW00265
  2.285469   1.683703 0.6240  10.477 12.037 -1.0    C19a1nW00266
  2.295369   0.166852 0.4201  13.159 12.279 0.43219 C19a1nW00267
  2.309018   0.429037 0.6194  15.201 12.459 0.61354 C19a1nW00268
  2.309518   1.790877 0.7842  23.944 12.427 -1.0    C19a1nW00269
  2.322210   0.213908 0.5714  15.705 12.424 0.60324 C19a1nW00270
  2.325160   1.016003 1.1639  12.396 12.367 -1.0    C19a1nW00271
  2.325303   2.118310 0.8025  24.277 12.161 -1.0    C19a1nW00272
  2.411592   0.807399 0.6440  14.779 12.489 0.62873 C19a1nW00273
  2.419327   0.425028 0.1909  16.038 12.252 0.18784 C19a1nW00274
  2.446248   1.401219 0.2700  12.722 12.142 -1.0    C19a1nW00275
  2.465644   0.256233 0.5620  11.394 12.129 0.57391 C19a1nW00276
  2.466589   0.569111 0.6809  11.139 12.163 -1.0    C19a1nW00277
